"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1970","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",40.000000039,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1971","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",40.0000000389,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1972","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",40.0333947484,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1973","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",38.262349999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1974","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",37.999999999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1975","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",37.999999999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1976","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",37.999999999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1977","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",37.999999999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1978","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",37.053749999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1979","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",36.020674999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1980","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",35.9962416657,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1981","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",36.848499999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1982","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",39.123999999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1983","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",40.0651666657,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1984","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",39.597,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1985","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",39.8485833333,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1986","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",37.92375,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1987","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",31.8446666667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1988","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",28.5884166667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1989","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",26.4069916667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1990","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",26.853,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1991","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",26.814775,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1992","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",25.1640833333,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1993","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",26.3870833333,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1994","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",26.4565,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1995","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",26.4856666667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1996","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",27.458,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1997","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",28.7029166667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1998","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",33.4555,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1999","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",32.2696666667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2000","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",31.23425,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2001","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",33.8130833333,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2002","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",34.5789166667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2003","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",34.41925,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2004","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",33.4259166667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2005","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",32.1785,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2006","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",32.5335,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2007","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",32.8426666667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2008","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",31.5341666667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2009","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",33.0565,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2010","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",31.6474166667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2011","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",29.4689166667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2012","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",29.6155833333,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2013","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",29.7708333333,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2014","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",30.37025,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2015","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",31.9075833333,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2016","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",32.3253333333,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2017","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",30.4424166667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2018","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",30.16266667,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2019","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",30.927,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2020","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",29.58325,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2021","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",28.0235,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","2022","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",29.80633333,"Exchange Rate, Standardized"